DC SEATTLE,OPERATIONS, LLC,DBA SEATTLE CHARTER HOTEL,2123
4/29/2023,22060849,3/30/2023,CHARTER HOTEL SEATTLE,273.24
7/9/2023,22074254,6/9/2023,CHARTER HOTEL SEATTLE,669.92
7/12/2023,2123,943.16,,
