DC SEATTLE,OPERATIONS, LLC,DBA SEATTLE CHARTER HOTEL,2123
4/29/2023,22060849,3/30/2023,CHARTER HOTEL SEATTLE,273.24
07-09-2023,22074254,06-09-2023,CHARTER HOTEL SEATTLE,669.92
07-12-2023,2123,,,943.16
